Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Rank,Theta_PR,Na,University,CC,LC,FC
320,84,1,University of Campinas,BR,PT,20
321,84,1,Ariel University,IL,HE,20
322,84,1,Dokuz Eylül University,TR,TR,20
323,84,1,Universiti Utara Malaysia,MY,MS,20
324,84,1,Cardinal Stefan Wyszyński University in Warsaw,PL,PL,20
325,83,4,Università degli Studi Niccolò Cusano,IT,IT,21
326,83,1,Université catholique de Louvain,BE,NL,15
327,83,1,University of West Hungary,HU,HU,18
328,83,1,Zhejiang University,CN,ZH,19
329,83,1,Kyushu University,JP,JA,20
330,83,1,Osmania University,IN,HI,20
331,83,1,Universidade Federal de Minas Gerais,BR,PT,20
332,82,3,Georgia Institute of Technology,US,EN,19
333,82,2,University of Würzburg,DE,DE,15
334,82,1,Hitotsubashi University,JP,JA,19
335,82,1,Amirkabir University of Technology,IR,FA,20
336,82,1,Szent István University,HU,HU,20
337,82,1,National Institutes of Technology,IN,HI,21
338,81,2,University of Turin,IT,IT,15
339,81,1,University of Calcutta,IN,HI,19
340,81,1,Doshisha University,JP,JA,19
341,81,1,Sun Yat-sen University,CN,ZH,20
342,81,1,Tilburg University,NL,NL,20
343,81,1,Dankook University,KR,KO,20
344,81,1,University of Lapland,FI,WR,20
345,81,1,Rangsit University,TH,TH,20
346,81,1,Universiti Malaysia Sarawak,MY,MS,20
347,80,1,Rikkyo University,JP,JA,19
348,80,1,Moscow Institute of Physics and Technology,RU,RU,20
349,80,1,University of Hyderabad,IN,HI,20
350,80,1,Örebro University,SE,SV,20
351,80,1,"Vietnam National University, Hanoi",VN,VI,20
352,80,1,Universiti Malaysia Sabah,MY,MS,20
353,80,1,Bolivarian University of Venezuela,VE,ES,21
354,79,1,Nagoya University,JP,JA,19
355,79,1,Universidade Federal de Viçosa,BR,PT,20
356,79,1,Renmin University of China,CN,ZH,20
357,79,1,Anadolu University,TR,TR,20
358,79,1,Sogang University,KR,KO,20
359,79,1,Kumaun University,IN,HI,20
360,79,1,Naresuan University,TH,TH,20
361,79,1,Mid Sweden University,SE,SV,20
362,78,3,"Vietnam National University, Ho Chi Minh City",VN,VI,20
363,78,1,Mashhad University of Medical Sciences,IR,FA,20
364,78,1,University of Pannonia,HU,HU,20
365,78,1,Indian Institute of Technology Madras,IN,HI,20
366,78,1,University of Twente,NL,NL,20
367,78,1,King Abdulaziz University,SA,AR,20
368,78,1,Universidad Juárez del Estado de Durango,MX,ES,20
369,78,1,University of Crete,GR,EL,20
370,78,1,Mahasarakham University,TH,TH,20
371,78,1,Istanbul Bilgi University,TR,TR,20
372,77,2,University of Rostock,DE,DE,15
373,77,1,Southern Illinois University Carbondale,US,EN,19
374,77,1,Beijing Normal University,CN,ZH,20
375,77,1,Konkuk University,KR,KO,20
376,77,1,Atatürk University,TR,TR,20
377,77,1,Asian Institute of Technology,TH,TH,20
378,77,1,Purbanchal University,NP,WR,20
379,77,1,University of Kuala Lumpur,MY,MS,21
380,76,2,Tampere University of Technology,FI,WR,20
381,76,2,University of Kassel,DE,DE,20
382,76,1,"Panjab University, Chandigarh",IN,HI,19
383,76,1,Federal University of Bahia,BR,PT,20
384,76,1,Karadeniz Technical University,TR,TR,20
385,76,1,Eindhoven University of Technology,NL,NL,20
386,76,1,Pusat Perubatan Universiti Kebangsaan Malaysia,MY,MS,20
387,76,1,Umm al-Qura University,SA,AR,20
388,76,1,Tarbiat Modares University,IR,FA,20
389,75,1,Aoyama Gakuin University,JP,JA,19
390,75,1,Universidade Federal do Rio Grande do Sul,BR,PT,19
391,75,1,Austral University of Chile,CL,ES,20
392,75,1,Nanyang Technological University,SG,ZH,20
393,75,1,University of Białystok,PL,PL,20
394,75,1,University of Monastir,TN,AR,21
395,75,1,Kastamonu University,TR,TR,21
396,74,1,Galatasaray University,TR,TR,15
397,74,1,National University of Engineering,PE,ES,19
398,74,1,Óbuda University,HU,HU,19
399,74,1,University of Porto,PT,PT,20
400,74,1,Nankai University,CN,ZH,20
401,74,1,Tokai University,JP,JA,20
402,74,1,Myongji University,KR,KO,20
403,74,1,Khon Kaen University,TH,TH,20
404,74,1,Université du Québec à Montréal,CA,EN,20
405,73,2,Karlsruhe Institute of Technology,DE,DE,19
406,73,2,University of Milan,IT,IT,20
407,73,1,University of Mainz,DE,DE,15
408,73,1,Polytechnic School of the University of São Paulo,BR,PT,19
409,73,1,Sophia University,JP,JA,20
410,73,1,Bandung Institute of Technology,ID,WR,20
411,73,1,Belarusian State University,BY,RU,20
412,73,1,Costa Rica Institute of Technology,CR,ES,20
413,73,1,Menoufia University,EG,AR,20
414,73,1,Çanakkale Onsekiz Mart University,TR,TR,20
415,73,1,Széchenyi István University,HU,HU,21
416,73,1,Doon University,IN,HI,21
417,72,1,University of Palermo,IT,IT,19
418,72,1,University of Science and Technology of China,CN,ZH,20
419,72,1,Ruhr University Bochum,DE,DE,20
420,72,1,University of al-Qarawiyyin,MA,AR,20
421,72,1,National Research University – Higher School of Economics,RU,RU,20
422,72,1,Graphic Era University,IN,HI,20
423,72,1,Çankaya University,TR,TR,20
424,72,1,University of Warmia and Mazury in Olsztyn,PL,PL,20
425,72,1,Universiti Malaysia Kelantan,MY,MS,21
426,71,1,Tokyo Institute of Technology,JP,JA,19
427,71,1,Gadjah Mada University,ID,WR,20
428,71,1,"Birla Institute of Technology, Mesra",IN,HI,20
429,71,1,University of Hasselt,BE,NL,20
430,71,1,Sapientia University,HU,HU,20
431,70,1,École Centrale Paris,FR,FR,19
432,70,1,Universidad Nacional Autónoma de Honduras,HN,ES,19
433,70,1,Saint Petersburg State Polytechnic University,RU,RU,19
434,70,1,Tongji University,CN,ZH,20
435,70,1,Hiroshima University,JP,JA,20
436,70,1,University of Medicine and Pharmacy of Târgu Mureș,RO,WR,20
437,70,1,Burapha University,TH,TH,20
438,70,1,University of Szczecin,PL,PL,20
439,69,2,University of Nottingham,UK,EN,19
440,69,1,"Università degli Studi di Napoli L'Orientale""""",IT,IT,18
441,69,1,Odessa University,UA,WR,19
442,69,1,Toyo University,JP,JA,19
443,69,1,Åbo Akademi University,FI,WR,20
444,69,1,University of Rajasthan,IN,HI,20
445,69,1,Paris 8 University,FR,FR,20
446,69,1,São Paulo State University,BR,PT,20
447,69,1,University of Sfax,TN,AR,20
448,69,1,Sabancı University,TR,TR,20
449,68,1,Liverpool John Moores University,UK,EN,19
450,68,1,University of Westminster,UK,EN,19
451,68,1,Soongsil University,KR,KO,19
452,68,1,Kobe University,JP,JA,20
453,68,1,Padjadjaran University,ID,WR,20
454,68,1,Thaksin University,TH,TH,20
455,68,1,Helwan University,EG,AR,20
456,68,1,Selçuk University,TR,TR,20
457,68,1,Central European University,HU,HU,20
458,68,1,Central University of Rajasthan,IN,HI,21
459,67,3,Rice University,US,EN,20
460,67,2,University of Oklahoma,US,EN,19
461,67,2,École Polytechnique Fédérale de Lausanne,CH,DE,20
462,67,1,University of Giessen,DE,DE,17
463,67,1,Tomsk State University,RU,RU,19
464,67,1,Comenius University,SK,WR,20
465,67,1,Tehran University of Medical Sciences,IR,FA,20
466,67,1,Dr. Hari Singh Gour University,IN,HI,20
467,67,1,Jilin University,CN,ZH,20
468,67,1,Inha University,KR,KO,20
469,67,1,University of Macedonia,GR,EL,20
470,67,1,Assumption University (Thailand),TH,TH,20
471,67,1,Pierre and Marie Curie University,FR,FR,20
472,67,1,University of Minho,PT,PT,20
473,67,1,Favaloro University,AR,ES,20
474,66,1,University of Catania,IT,IT,15
475,66,1,École des ponts ParisTech,FR,FR,18
476,66,1,Chungnam National University,KR,KO,20
477,66,1,King Mongkut's University of Technology Thonburi,TH,TH,20
478,66,1,University of Bordeaux 1,FR,FR,20
479,66,1,Zagazig University,EG,AR,20
480,66,1,University of Cyprus,CY,EL,20
481,66,1,Opole University,PL,PL,20
482,66,1,University of Kaposvár,HU,HU,20
483,66,1,University of Kota,IN,HI,21
484,65,1,Gakushuin University,JP,JA,19
485,65,1,University of Sucre,CO,ES,20
486,65,1,Guru Gobind Singh Indraprastha University,IN,HI,20
487,65,1,Universiti Malaysia Perlis,MY,MS,21
488,65,1,University of Gabès,TN,AR,21
489,65,1,Rajamangala University of Technology,TH,TH,21
490,65,1,Avrasya University,TR,TR,21
491,64,1,University of Genoa,IT,IT,15
492,64,1,Federal University of Pernambuco,BR,PT,19
493,64,1,Universidad Autónoma de Nuevo León,MX,ES,20
494,64,1,Tata Institute of Fundamental Research,IN,HI,20
495,64,1,Universiti Sultan Zainal Abidin,MY,MS,20
496,63,3,Florida State University,US,EN,19
497,63,3,California State University,US,EN,19
498,63,1,Kwansei Gakuin University,JP,JA,19
499,63,1,Indian Institute of Science,IN,HI,20
500,63,1,Xiamen University,CN,ZH,20
501,63,1,Assiut University,EG,AR,20
502,63,1,King Mongkut's Institute of Technology Ladkrabang,TH,TH,20
503,63,1,University of Selangor,MY,MS,20
504,62,2,University of Basrah,IQ,AR,20
505,62,1,Medical University of Warsaw,PL,PL,19
506,62,1,Kansai University,JP,JA,19
507,62,1,Indian Institute of Technology Bombay,IN,HI,20
508,62,1,Federal University of Santa Catarina,BR,PT,20
509,62,1,University of Thessaly,GR,EL,20
510,61,2,Polytechnic University of Catalonia,ES,ES,20
511,61,1,Bocconi University,IT,IT,20
512,61,1,University of Turku,FI,WR,20
513,61,1,Chiba University,JP,JA,20
514,61,1,Iran University of Medical Sciences,IR,FA,20
515,61,1,Cesar Vallejo University,PE,ES,20
516,61,1,International Medical University,MY,MS,20
517,61,1,Istanbul Commerce University,TR,TR,21
518,61,1,Indian Institutes of Science Education and Research,IN,HI,21
519,60,3,Arizona State University,US,EN,19
520,60,1,University of Innsbruck,AT,DE,17
521,60,1,Southeast University,CN,ZH,20
522,60,1,Sripatum University,TH,TH,20
523,60,1,Mansoura University,EG,AR,20
524,60,1,Uludağ University,TR,TR,20
525,60,1,Cyprus University of Technology,CY,EL,21
526,60,1,Indian Institute of Space Science and Technology,IN,HI,21
527,59,3,"University of California, Santa Barbara",US,EN,19
528,59,3,University of Leeds,UK,EN,20
529,59,2,Emory University,US,EN,19
530,59,1,Sichuan University,CN,ZH,18
531,59,1,National Research Nuclear University MEPhI,RU,RU,20
532,59,1,Dong-a University,KR,KO,20
533,59,1,King Mongkut's University of Technology North Bangkok,TH,TH,20
534,59,1,Devi Ahilya Vishwavidyalaya,IN,HI,20
535,59,1,Trisakti University,ID,WR,20
536,59,1,Andrássy University Budapest,HU,HU,21
537,58,1,University of Bern,CH,DE,19
538,58,1,Creighton University,US,EN,19
539,58,1,Harbin Institute of Technology,CN,ZH,20
540,58,1,Lebanese University,LB,AR,20
541,58,1,Dhurakij Pundit University,TH,TH,20
542,58,1,Koç University,TR,TR,20
543,57,1,Okayama University,JP,JA,19
544,57,1,Shandong University,CN,ZH,20
545,57,1,Visva-Bharati University,IN,HI,20
546,57,1,Saarland University,DE,DE,20
547,57,1,Rio de Janeiro State University,BR,PT,20
548,57,1,YARSI University,ID,WR,20
549,57,1,The Institute of Technology at Linköping University,SE,SV,20
550,57,1,Yarmouk University,JO,AR,20
551,56,1,University of Stuttgart,DE,DE,19
552,56,1,University of Isfahan,IR,FA,20
553,56,1,Novosibirsk State University,RU,RU,20
554,56,1,Yeungnam University,KR,KO,20
555,56,1,Suranaree University of Technology,TH,TH,20
556,56,1,Universiti Tunku Abdul Rahman,MY,MS,21
557,56,1,University of Bordeaux,FR,FR,21
558,56,1,"National Institute of Technology, Arunachal Pradesh",IN,HI,21
559,55,1,Komazawa University,JP,JA,16
560,55,1,University of Hanover,DE,DE,19
561,55,1,University of Piraeus,GR,EL,20
562,55,1,Pusan National University,KR,KO,20
563,55,1,University of San Diego,US,EN,20
564,55,1,Dravidian University,IN,HI,20
565,55,1,University of Sousse,TN,AR,21
566,54,1,University of Perugia,IT,IT,14
567,54,1,Adolfo Ibáñez University,CL,ES,20
568,54,1,University of Regensburg,DE,DE,20
569,54,1,Ubon Ratchathani University,TH,TH,20
570,54,1,Indian Institute of Technology Guwahati,IN,HI,20
571,53,3,Durham University,UK,EN,19
572,53,2,University of Siena,IT,IT,13
573,53,1,Saint Joseph University,LB,AR,19
574,53,1,University of Seoul,KR,KO,20
575,53,1,University of Tabriz,IR,FA,20
576,53,1,Kanazawa University,JP,JA,20
577,53,1,Hanoi University of Science and Technology,VN,VI,20
578,53,1,Bielefeld University,DE,DE,20
579,53,1,Vinoba Bhave University,IN,HI,20
580,53,1,Adnan Menderes University,TR,TR,20
581,53,1,University of Flensburg,DE,DE,20
582,52,1,Mines ParisTech,FR,FR,18
583,52,1,Indian Institute of Technology Kanpur,IN,HI,20
584,52,1,University of Tromsø,NO,WR,20
585,52,1,Tanta University,EG,AR,20
586,52,1,Çukurova University,TR,TR,20
587,52,1,University of Peloponnese,GR,EL,21
588,51,2,University of South Florida,US,EN,20
589,51,2,University of Oulu,FI,WR,20
590,51,1,University of Duisburg-Essen,DE,DE,17
591,51,1,Osaka City University,JP,JA,19
